Date,Open,High,Low,Close,Adj Close,Volume
2018-07-04,7593.299805,7593.299805,7560.799805,7573.100098,7573.100098,574163100
2018-07-05,7573.100098,7624.799805,7572.700195,7603.200195,7603.200195,614456600
2018-07-06,7603.200195,7631.200195,7569.700195,7617.700195,7617.700195,663475300
2018-07-09,7617.700195,7697.5,7617.700195,7688,7688,676761100
2018-07-10,7688,7715.100098,7677.100098,7692,7692,701511200
2018-07-11,7692,7692,7578.200195,7592,7592,793208100
2018-07-12,7592,7663,7592,7651.299805,7651.299805,746183900
2018-07-13,7651.299805,7716.200195,7651.299805,7661.899902,7661.899902,574401200
2018-07-16,7661.899902,7667.700195,7565,7600.5,7600.5,591161000
2018-07-17,7600.5,7641.100098,7581.799805,7626.299805,7626.299805,724367500
2018-07-18,7626.299805,7685.700195,7625.799805,7676.299805,7676.299805,651377100
2018-07-19,7676.299805,7702.899902,7660,7684,7684,695398600
2018-07-20,7684,7705.799805,7631.700195,7678.799805,7678.799805,685061200
2018-07-23,7678.799805,7678.799805,7621.799805,7655.799805,7655.799805,573514400
2018-07-24,7655.790039,7740.640137,7648.589844,7709.049805,7709.049805,0
